KEY;TTESTBETWEEN_NL;TTESTBETWEEN_EN;TTESTWITHIN_NL;TTESTWITHIN_EN;1ANOVA_NL;1ANOVA_EN;2ANOVA_NL;2_ANOVA_EN;RMANOVA_NL;RMANOVA_EN
E_ONAFHANKELIJKE_VARIABELE;De onafhankelijke variabele is de variabele waarvan de variatie niet afhankelijk is van die van een andere, het wordt verondersteld de oorzaak of input te zijn.;The independent variable is the variable whose variation does not depend on that of another, it is presumed to be the cause or input.;De onafhankelijke variabele is de variabele waarvan de variatie niet afhankelijk is van die van een andere, het wordt verondersteld de oorzaak of input te zijn.;The independent variable is the variable whose variation does not depend on that of another, it is presumed to be the cause or input.;Je moet kijken naar de variabele waar geen invloed op uitgeoefend wordt. Hierbij benoem je dat het een factor is en geef je aan of het een within- of een between-subject factor is. Je noemt dan de naam van de factor en de meetniveau's. ;You have to look at the variable that is not being influenced. You have to mention that it is a factor and indicate whether it is an within or an between-subject factor. You then mention the name of the factor and the measurement levels. ;Je moet kijken naar de variabelen waar geen invloed op uitgeoefend wordt. Hierbij benoem je per factor dat het een factor is en geef je aan of het een within- of een between-subject factor is. Je noemt dan de naam van de factor en de meetniveau's. ;You have to look at the variables that are not being influenced. You indicate per factor that it is a factor and indicate whether it is an within- or an between-subject factor. You then mention the name of the factor and the measurement levels. For example: The independent variable is: betweensubject factor 1 = divorce child (yes/no), between-subject factor 2 = psychological help in the past (yes/no).;Je moet kijken naar de variabelen waar geen invloed op uitgeoefend wordt. Hierbij benoem je per factor dat het een factor is en geef je aan of het een within- of een between-subject factor is. Je noemt dan de naam van de factor en de meetniveau's.;You have to look at the variables that are not affected. You indicate per factor that it is a factor and indicate whether it is an within- or an between-subject factor. You then mention the name of the factor and the measurement levels.
E_AFHANKELIJKE_VARIABELE;De afhankelijke variabele is de variabele waarvan de waarde afhangt van die van de onafhankelijke variabele, het wordt verondersteld het gevolg of de uitkomst te zijn.;The dependent variable is the variable whose value depends on that of the independent variable, it is presumed to be the consequence or outcome.;De afhankelijke variabele is de variabele waarvan de waarde afhangt van die van de onafhankelijke variabele, het wordt verondersteld het gevolg of de uitkomst te zijn.;The dependent variable is the variable whose value depends on that of the independent variable, it is presumed to be the consequence or outcome.;Je moet kijken naar de variabele waar wel invloed op uitgeoefend wordt. Hierbij benoem je de naam van de factor en de meetniveau's. ;You have to look at the variable that is being influenced. You name the factor and the measurement levels. ;Je moet kijken naar de variabele waar wel invloed op uitgeoefend wordt. Hierbij benoem je de naam van de factor en de meetniveau's. ;You have to look at the variable that is being influenced. You name the factor and the measurement levels. ;Je moet kijken naar de variabele waar wel invloed op uitgeoefend wordt. Hierbij benoem je de naam van de factor en de meetniveau's. Ook benoem je hoeveel metingen er uitgevoerd zijn per persoon. ;You have to look at the variable that is influenced. You name the factor and the measurement levels. You also mention how many measurements have been taken per person. 
E_MATE_VAN_CONTROLE;Wanneer de onderzoeker een aspect van een variabele heeft gemaakt of gewijzigd, wordt die variabele gemanipuleerd en wordt deze beschouwd als een experiment. Wanneer de variabele een deel van de werkelijkheid beschrijft dat niet door de onderzoeker wordt gewijzigd, wordt die variabele waargenomen en wordt deze niet als een experiment beschouwd.;When the investigator has created or changed an aspect of an variable, that variable is manipulated and it is considered an experiment. When the variable describes a part of reality that is not changed by the investigator, that variable is observed and it is not considered an experiment.;Als er gecounterbalanced is, is er sprake van een experimenteel onderzoek. Dit betekent dat een proefpersoon beide condities in een random volgorde heeft doorgemaakt. Hierdoor kann er geen sprake zijn van een leereffect, ofwel een effect door de volgorde van de metingen. ;If there has been counterbalanced, it is an experimental study. This means that a subject has gone through both conditions in a random order. As a result, there can be no learning effect, or an effect due to the order of the measurements;Als er geen sprake is van een random indeling in groepen en manipulatie of van counterbalancing, is het een passief-observerend onderzoek. Als wel, dan is het experimenteel;If there is no random classification into groups and manupulation or counterbalancing, it is a passive-observing study. If it is, then it's experimental;Als er geen sprake is van een random indeling in groepen en manipulatie of van counterbalancing, is het een passief-observerend onderzoek. Als wel, dan is het experimenteel. Dit moet je voor beide onafhankelijke variabelen apart bepalen.;If there is no random classification into groups and manipulation or counterbalancing, it is a passive-observing study. If it is, it's experimental. You have to determine this separately for both independent variables.;Om een experiment te zijn, moet er sprake zijn van counterbalancing. Als dit niet het geval is, is het niet-experimenteel.;To be an experiment, there has to be counterbalancing. If not, it's non-experimental.
E_HYPOTHESE;Een hypothese is een verklaring over de populatie die een mogelijk antwoord vormt op de onderzoeksvraag. H0 zegt nee en Ha zegt ja.;A hypothesis is a statement about the population that forms a possible answer to the research question. H0 says no and Ha says yes.;Een hypothese is een verklaring over de populatie die een mogelijk antwoord vormt op de onderzoeksvraag. Kijk naar de vraag, de onderzoeker wil bijvoorbeeld weten of depressieklachten afgenomen zijn tijdens de behandeling is dit de Ha. De H0 zegt het tegenovergestelde, in dit geval dus dat de depressieklachten gelijk zijn gebleven of erger zijn geworden. ;A hypothesis is an explanation of the population that is a possible answer to the research question. Look at the question, for example, the researcher wants to know whether depression symptoms have decreased during treatment this is the Ha. The H0 says the opposite, in this case that the depression symptoms have remained the same or have gotten worse.;Voor de H0 ga je ervan uit dat er geen verschil is tussen de groepen. Voor Ha kijk je naar het tegenovergestelde (vaak de onderzoeksvraag). Aangezien er soms meer dan 2 groepen zijn, schrijf je meestal op: Ha = ten minste twee van deze gemiddelden verschillen;For the H0 you assume that there is no difference between the groups. For Ha you look at the opposite (often the research question). Since there are sometimes more than 2 groups, you usually write down: Ha = at least two of these averages differ;Voor de H0 ga je ervan uit dat er geen verschil is tussen de groepen. Voor Ha kijk je naar het tegenovergestelde (vaak de onderzoeksvraag). Aangezien er soms meer dan 2 groepen zijn, schrijf je meestal op: Ha = H0 (1) is onwaar. Deze hypothese moet je voor beide onafhankelijke variabelen bepalen. ;For the H0 you assume that there is no difference between the groups. For Ha you look at the opposite (often the research question). Since there are sometimes more than 2 groups, you usually write down: Ha = H0 (1) is false. You have to determine this hypothesis for both independent variables.;De hypothese van de conditie gaat om de metingen. De H0 is dat de condities gelijke gemiddelden hebben in de populatie. De Ha geeft aan dat de H0 onwaar is.;The hypothesis of the condition is about the measurements. The H0 is that the conditions have equal averages in the population. The Ha indicates that the H0 is untrue.
E_HYPOTHESE_INTERACTIE;-;-;-;-;-;-;De H0 voor interactie is dat er geen interactie is. Dit betekent dat het celgemiddelde gelijk is aan het rijgemiddelde + kolomgemiddelde - totaalgemiddelde. ;The H0 for interaction is that there is no interaction. This means that the cell average is equal to the row average + column average - total average. ;-;-
E_HYPOTHESE_SUBJECTEN;-;-;-;-;-;-;-;-;Bij een within-subject design wordt ook verondersteld dat de personen gelijke ware scores op de opgevoerde meting hebben.  Je beschrijft de ware scores met tau. De Ha is dat de H0 onwaar is.;In an within-subject design, it is also assumed that the persons have equal true scores on the increased measurement. You describe the true scores with tau. The Ha is that the H0 is untrue.
E_TABEL_GEMIDDELDEN;N: is het aantal waarnemingen in dat niveau van de variabele. Gemiddelde: geeft het middelste punt van de scores aan. Standaarddeviatie: geeft gemiddeld aan hoe groot de afstanden tussen scores van verschillende onderwerpen zijn en hoe groot de afstanden tussen individuele scores en het gemiddelde zijn.;N: is the number of observations in that level of the variable. Mean: indicates the middle point of the scores. Standard deviation: indicates on average, how large the distances between scores of different subjects are and how large the distances between individual scores and the mean are.;N: is het aantal waarnemingen in dat niveau van de variabele. Gemiddelde: geeft het middelste punt van de scores aan. Standaarddeviatie: geeft gemiddeld aan hoe groot de afstanden tussen scores van verschillende onderwerpen zijn en hoe groot de afstanden tussen individuele scores en het gemiddelde zijn.;N: is the number of observations in that level of the variable. Mean: indicates the middle point of the scores. Standard deviation: indicates on average, how large the distances between scores of different subjects are and how large the distances between individual scores and the mean are.;Per groep noteer je het middelde, de variantie (sd in het kwadraat) en de grootte van de groep. Voor het totaal noteer je het gemiddelde en de totale steekproefgrootte. ;Per group you note the middle, the variance (sd squared) and the size of the group. For the total, note the average and the total sample size.;Je maakt een tabel met de geaggregeerde data. Hierin zet je voor iedere conditie het gemiddelde, de variantie en het aantal personen in de conditie. Het is handig om ook het rijgemiddelde, het kolomgemiddelde en het totale gemiddelde erbij te zetten.;You create a table with the aggregated data. In this you put the average, variance and number of people in the condition for each condition. It is useful to also add the row average, column average and total average.;Per meting bereken je het gemiddelde en de variantie. Noteer ook het gemiddelde en de variantie van de opgevoerde meting. Noteer verder het aantal personen (n) en het aantal metingen (k). ;Per measurement you calculate the average and variance. Also note the average and variance of the increased measurement. Further note the number of people (n) and the number of measurements (k).
E_TABEL_ANOVA;-;-;-;-;Dfbetween = aantal groepen -1. Dfwithin = aantal personen - aantal groepen. Dftotaal = aantal personen - 1. SSbetween = (N-1)* de variantie van de groepsgemiddelden. SSwithin = De som van per groep de variantie van die groep keer n-1. SStotaal = SSbetween + SSwithin. MSbetween = SSbetween/DFbetween. MSwithin= SSwithin/DFwithin. F= MSbetween/MSwithin. De p-waarde zoek je op in de tabel, waarbij je in de teller DFbetween en in de noemer DFwithin zet. R²= SSbetween/SStotaal.;Dfbetween = number of groups -1. Dfwithin = number of people - number of groups. Dftotal = number of persons - 1. SSbetween = (N-1)* the variance of group averages. SSwithin = The sum of each group the variance of that group times n-1. SStotal = SSbetween + SSwithin. MSbetween = SSbetween/DFbetween. MSwithin= SSwithin/DFwithin. F= MSbetween/MSwithin. ou look up the p-value in the table, where you put DFbetween in the nominator and in the denominator DFwithin. R²= SSbetween/SStotal.;Dfbetween= aantal cellen -1, DF(a) = aantal rijen -1, DF (b) = aantal kolummen -1, Df (ab) = DF(a)xDF(b), Dfwithin = aantal personen - aantal cellen, Dftotaal = aantal personen -1. SSbetween = (N-1)* de variantie van de groepsgemiddelden, SS(a) = (N-1)* de variantie van de rijgemiddelden, SS(b) = (N-1)* de variantie van de kolomgemiddelden, SS(ab) = SSbetween- SS(a) - SS(b), SSwithin = de som van de variantie van elke cel * (Nkl -1), SStotaal = SSbetween + SSwithin. MS(bron)= SS(bron)/DF (bron). F (bron)= MS(bron)/MS(within). P zoek je in de tabel op met DF(bron) als teller en DF (within) als noemer. R² (bron) = SS(bron)/SS(totaal).;Dfbetween= number of cells -1, DF(a) = number of rows -1, DF (b) = number of kolummes -1, Df (ab) = DF(a)xDF(b), Dfwithin = number of people - number of cells, Dftotal = number of persons -1. SSbetween = (N-1)* the variance of group averages, SS(a) = (N-1)* the variance of the row averages, SS(b) = (N-1)* the variance of the column averages, SS(ab) = SSbetween- SS(a) - SS(b), SSwithin = the sum of the variance of each cell * (Nkl -1), SStotal = SSbetween + SSwithin. MS(source)= SS(source)/DF (source). F (source)= MS(source)/MS(within). P can be searched in the table with DF(source) as nominator and DF (within) as denominator. R² (source) = SS(source)/SS(total).;DF(conditie) = aantal rijen -1, DF (persoon) = aantal kolummen -1, Df (interactie) = DF(peroon)xDF(conditie), Dftotaal = (aantal personen*aantal condities) -1. SS(conditie) = (N-1)* de variantie als je n keer de gemiddelden van de metingen invoert, SS(persoon) = (N-1)* de variantie als je alle opgevoerde scores k keer invoert, SStotaal = variantie van alle scores * (N-1), SSinteractie = SStotaal - SS (persoon)- SS(conditie). MS(bron)= SS(bron)/DF (bron). F(bron) = MSbron/MSinteractie. De p-waarde zoek je op bij DF bron (teller) en DF interactie (noemer). R²= SSbetween/SStotal. Voor F, p en R² schrijf je geen interactiewaarde op.;DF(condition) = number of rows -1, DF (person) = number of kolummes -1, Df (interaction) = DF(peroon)xDF(condition), Dftotal = (number of persons*number of conditions) -1. SS(condition) = (N-1)* the variance if you enter the averages of the measurements once, SS(person) = (N-1)* the variance if you enter all the entered scores k times, SStotal = variance of all scores * (N-1), SSinteractie = SStotaal - SS (person)- SS(condition). MS(source)= SS(source)/DF (source). F(source) = MSbron/MSinteractie. The p-value can be traced to DF source (nominator) and DF interaction (denominator). R²= SSbetween/SStotal. For F, p and R², you do not write down an interaction value.
E_RUW_EFFECT;De ruwe effectgrootte is het verschil tussen de niet-gestandaardiseerde gemiddelen;The raw effect size is the difference between the unstandardized means;Bereken de verschilscores van alle subjecten. Het gemiddelde van deze verschilscores is het ruwe effect.;Calculate the difference scores of all subjects. The average of these difference scores is the raw effect.;-;-;-;-;-;-
E_RELATIEF_EFFECT;Gestandaardiseerde effectgrootte meet het gemiddelde van de verschillen, met behulp van de standaardafwijking als meting. Het verandert niet wanneer je de uitkomstmaat wijzigt.;Standardized effect size measures the mean of the differences, using the standard deviation as measurement. It does not change when you change the unit.;Gestandaardiseerde effectgrootte meet het gemiddelde van de verschillen, met behulp van de standaardafwijking als meting. Het verandert niet wanneer je de uitkomstmaat wijzigt. Je moet hier het ruwe effect delen door de standaarddeviatie van de verschilscores.;You have to divide the raw effect here by the standard deviation of the difference scores.;-;-;-;-;-;-
