KEY;TTESTBETWEEN_NL;TTESTBETWEEN_EN;TTESTWITHIN_NL;TTESTWITHIN_EN;1ANOVA_NL;1ANOVA_EN;2ANOVA_NL;2_ANOVA_EN;RMANOVA_NL;RMANOVA_EN
E_ONAFHANKELIJKE_VARIABELE;Het zou bijvoorbeeld moeten zijn: de onafhankelijke variabele is geboorteplaats;The independent variable is birthplace;Bijvoorbeeld: de onafhankelijke variabele is behandeling (ja/nee);For example: the independent variable is treatment (yes/no);Bijvoorbeeld: De onafhankelijke variabele is een betweensubject factor, namelijk scheidingskind (ja/nee).;For example: The independent variable is an betweensubject factor, namely divorce child (yes/no).;Bijvoorbeeld: De onafhankelijke variabele is:  betweensubject factor 1 = scheidingskind (ja/nee), between-subject factor 2 = psychologische hulp in het verleden (ja/nee).;For example: The independent variable is: betweensubject factor 1 = divorce child (yes/no), between-subject factor 2 = psychological help in the past (yes/no).;Bijvoorbeeld: De onafhankelijke variabele is:  within-subject factor = tijdstip t.o.v. behandeling (voor/na);For example: The independent variable is: within-subject factor = time compared to treatment (before/after
E_AFHANKELIJKE_VARIABELE;Het zou bijvoorbeeld moeten zijn: de afhankelijke variabele is reactietijd;The dependent variable is reaction time;Bijvoorbeeld: de afhankelijke variabele is depressiviteit (kwantitatief).;For example, the dependent variable is depression (quantitative).;Bijvoorbeeld: De afhankelijke variabele is depressiescore (kwantititief, 1 meting per persoon);For example: The dependent variable is depression score (quantitative, 1 measurement per person);Bijvoorbeeld: De afhankelijke variabele is depressiescore (kwantititief, 1 meting per persoon);For example: The dependent variable is depression score (quantitative, 1 measurement per person);Bijvoorbeeld: De afhankelijke variabele is vooruitgang depressiescore (kwantititief, 2 meting per persoon);For example: The dependent variable is progress depression score (quantitative, 2 measurement per person)
E_MATE_VAN_CONTROLE;Het was geen experiment;Not an experiment;Als er gecounterbalanced is, zeg je: het is een experiment. Als niet zeg je: het is passief-observerend.;If there's a counterbalance, you say it's an experiment. If not, you say it's passive-observant.;Als er gecounterbalanced of gemanipuleerd is, zeg je: het is een experiment. Als niet zeg je: het is passief-observerend.;If there's been counterbalancing or manipulation, you say it's an experiment. If not, you say it's non-experimental.;Als er gecounterbalanced of gemanipuleerd is, zeg je: het is een experiment. Als niet zeg je: het is passief-observerend. Doe dit voor beide variabelen.;If there's been counterbalanced or manipulation, you say it's an experiment. If not, you say it's passive-observant. Do this for both variables.;Om een experiment te zijn, moet er sprake zijn van counterbalancing.Als dit niet het geval is, is het niet-experimenteel.;To be an experiment, there has to be counterbalancing. If not, it's non-experimental.
E_HYPOTHESE;H0: mu Nijmegen = mu Amsterdam;H0: mu Nijmegen = mu Amsterdam;bijvoorbeeld:  H0: voormeting = nameting. Ha: voormeting =/ nameting;for example: H0: premeasure = nameting. Ha: pre-measurement =/ nameting;bijvoorbeeld: H0 = mu(scheidingskind) = mu (geen scheidingskind). Ha = ten minste twee van deze gemiddelden verschillen;for example: H0 = mu(divorce child) = mu (no divorce child). Ha = at least two of these averages differ;Bijvoorbeeld: 1.  H0 = mu(scheidingskind) = mu (geen scheidingskind). Ha = H0 (1) is onwaar. 2. H0 = mu(hulp in verleden) = mu (geen hulp in verleden). Ha = H0 (2) is onwaar.;For example: 1. H0 = mu (divorce child) = mu (no divorce child). Ha = H0 (1) is false. 2. H0 = mu (past aid) = mu (no past help). Ha = H0 (2) is false.;Bijvoorbeeld: H0(condities)= mu(voor)= mu(na). De Ha hierbij is: H0 is onwaar.;For example: H0(conditions)= mu(voor)= mu(na). The Ha here is: H0 is untrue.
E_HYPOTHESE_INTERACTIE;-;-;-;-;-;-;Bijvoorbeeld: H0 (scheidingskind x hulp): mu (scheiding ja & hulp ja) = mu(scheiding ja) + mu (hulp ja) - mu(totaal) en mu (scheiding ja & hulp nee) = mu(scheiding ja) + mu (hulp nee) - mu(totaal) en mu (scheiding nee & hulp ja) = mu(scheiding nee) + mu (hulp ja) - mu(totaal) en mu (scheiding nee & hulp nee) = mu(scheiding nee) + mu (hulp nee) - mu(totaal). Ha: H0 (scheidingskind x hulp) is onwaar.;For example: H0 (divorce child x help): mu (divorce yes & help yes) = mu (divorce yes) + mu (help yes) - mu(total) and mu (divorce yes & help no) = mu(divorce yes) + mu (help no) - mu(total) and mu (divorce no & help yes) = mu (divorce no) + mu (help yes) - mu(total) and mu (divorce no & help no) = mu (divorce no) + mu (help no) - mu(total). Ha: H0 (divorce child x help) is untrue.;-;-
E_HYPOTHESE_SUBJECTEN;-;-;-;-;-;-;-;-;bijvoorbeeld: H0(personen) = tau (persoon1) = tau (persoon2) = …. = tau (persoon n). De bijbehorende Ha is: H0 is onwaar.;for example: H0(persons) = tau (person1) = tau (person2) = .... = tau (person n). The corresponding Ha is: H0 is false.
E_TABEL_GEMIDDELDEN;"geboorte      gemiddelde  Standard deviation N
Nijmegen      104.97   17.08                          13
Amsterdam  194.05   8.55                             10";"Birthplace     Mean  Standaarddeviatie  N
Nijmegen      104.97            17.08             13
Amsterdam  194.05             8.55              10";noem het gemiddelde, de standaarddeviatie en het aantal personen.;name the average, the standard deviation and the number of people.;Per groep noteer je het middelde, de variantie (sd in het kwadraat) en de grootte van de groep. Voor het totaal noteer je het gemiddelde en de totale steekproefgrootte. ;Per group you note the middle, the variance (sd squared) and the size of the group. For the total, note the average and the total sample size.;noteer voor iedere conditie het gemiddelde, de variantie en het aantal personen in de conditie. Eventueel zet je er het rijgemiddelde, het kolomgemiddelde en het totale gemiddelde bij.;note the average, variance and number of people in the condition for each condition. If necessary, add the row average, the column average and the total average.;Per meting bereken je het gemiddelde en de variantie. Noteer het gemiddelde en variantie van de opgevoerde meting. Noteer verder het aantal personen en het aantal metingen. ;Per measurement you calculate the average and variance. Note the average and variance of the increased measurement. Further note the number of people and the number of measurements.
E_TABEL_ANOVA;-;-;-;-;Dfbetween = aantal groepen -1. Dfwithin = aantal personen - aantal groepen. Dftotaal = aantal personen - 1. SSbetween = (N-1)* de variantie van de groepsgemiddelden. SSwithin = De som van per groep de variantie van die groep keer n-1. SStotaal = SSbetween + SSwithin. MSbetween = SSbetween/DFbetween. MSwithin= SSwithin/DFwithin. F= MSbetween/MSwithin. De p-waarde zoek je op in de tabel. R²= SSbetween/SStotaal.;Dfbetween = number of groups -1. Dfwithin = number of people - number of groups. Dftotal = number of persons - 1. SSbetween = (N-1)* the variance of group averages. SSwithin = The sum of each group the variance of that group times n-1. SStotal = SSbetween + SSwithin. MSbetween = SSbetween/DFbetween. MSwithin= SSwithin/DFwithin. F= MSbetween/MSwithin. You look up the p-value in the table. R²= SSbetween/SStotal.;Dfbetween= aantal cellen -1, DF(a) = aantal rijen -1, DF (b) = aantal kolummen -1, Df (ab) = DF(a)xDF(b), Dfwithin = aantal personen - aantal cellen, Dftotaal = aantal personen -1. SSbetween = (N-1)* de variantie van de groepsgemiddelden, SS(a) = (N-1)* de variantie van de rijgemiddelden, SS(b) = (N-1)* de variantie van de kolomgemiddelden, SS(ab) = SSbetween- SS(a) - SS(b), SSwithin = de som van de variantie van elke cel * (Nkl -1), SStotaal = SSbetween + SSwithin. MS(bron)= SS(bron)/DF (bron). F (bron)= MS(bron)/MS(within). P zoek je in de tabel op met DF(bron) als teller en DF (within) als noemer. R² (bron) = SS(bron)/SS(totaal).;Dfbetween= number of cells -1, DF(a) = number of rows -1, DF (b) = number of kolummes -1, Df (ab) = DF(a)xDF(b), Dfwithin = number of people - number of cells, Dftotal = number of persons -1. SSbetween = (N-1)* the variance of group averages, SS(a) = (N-1)* the variance of the row averages, SS(b) = (N-1)* the variance of the column averages, SS(ab) = SSbetween- SS(a) - SS(b), SSwithin = the sum of the variance of each cell * (Nkl -1), SStotal = SSbetween + SSwithin. MS(source)= SS(source)/DF (source). F (source)= MS(source)/MS(within). P can be searched in the table with DF(source) as nominator and DF (within) as denominator. R² (source) = SS(source)/SS(total).;DF(conditie) = aantal rijen -1, DF (persoon) = aantal kolummen -1, Df (interactie) = DF(peroon)xDF(conditie), Dftotaal = (aantal personen*aantal condities) -1. SS(conditie) = (N-1)* de variantie als je n keer de gemiddelden van de metingen invoert, SS(persoon) = (N-1)* de variantie als je alle opgevoerde scores k keer invoert, SStotaal = variantie van alle scores * (N-1), SSinteractie = SStotaal - SS (persoon)- SS(conditie). MS(bron)= SS(bron)/DF (bron). F(bron) = MSbron/MSinteractie. De p-waarde zoek je op bij DF bron (teller) en DF interactie (noemer). R²= SSbetween/SStotal. ;DF(condition) = number of rows -1, DF (person) = number of kolummes -1, Df (interaction) = DF(peroon)xDF(condition), Dftotal = (number of persons*number of conditions) -1. SS(condition) = (N-1)* the variance if you enter the averages of the measurements once, SS(person) = (N-1)* the variance if you enter all the entered scores k times, SStotal = variance of all scores * (N-1), SSinteractie = SStotaal - SS (person)- SS(condition). MS(source)= SS(source)/DF (source). F(source) = MSbron/MSinteractie. The p-value can be traced to DF source (nominator) and DF interaction (denominator). R²= SSbetween/SStotal. 
E_RUW_EFFECT;voorbeeld: 104,97-194,05 = -89,08;104,97-194,05 = -89,08;Noem het gemiddelde van de verschilscores;Name the average of the difference scores;-;-;-;-;-;-
E_RELATIEF_EFFECT;bijvoorbeeld: wortel(12*17.08^2+9*8.55^2/21) = 14.07  --> -89,08/14.07 = -6,33;wortel(12*17.08^2+9*8.55^2/21) = 14.07  --> -89,08/14.07 = -6,33;ruw effect/sd van verschilscores;raw effect/sd of difference scores;-;-;-;-;-;-
