KEY;TTESTBETWEEN_NL;TTESTBETWEEN_EN;TTESTWITHIN_NL;TTESTWITHIN_EN;1ANOVA_NL;1ANOVA_EN;2ANOVA_NL;2_ANOVA_EN;RMANOVA_NL;RMANOVA_EN
E_ONAFHANKELIJKE_VARIABELE;Kijk naar welke variabele niet afhankelijk is van de ander. Bijvoorbeeld als een wetenschapper wil weten of de burgelijke staat invloed heeft op geluk, dan wordt ervan uitgegaan dat het vrijgezel of getrouwd zijn onafhankelijk is van geluk.  ;Look at which variable is not dependent on the other. For example, if an investigator wants to find out if marital status has an impact on happiness, then it is assumed that being married or single is independent from happiness.;Kijk naar welke variabele niet afhankelijk is van de ander. Bijvoorbeeld als een wetenschapper kijkt naar het verschil tussen een voor en een nameting, waarbij tussen deze tijdstippen een behandeling ligt, is de behandeling onafhankelijk van de meting voor bijvoorbeeld depressiviteit.;Look at which variable is not dependent on the other. For example, if a scientist looks at the difference between a pre and postmeasurement, where there is a treatment between these time-time providers, the treatment is independent of the measurement for depression, for example.;Je moet kijken naar de variabele waar geen invloed op uitgeoefend wordt. Hierbij benoem je dat het een factor is en geef je aan of het een within- of een between-subject factor is. Je noemt dan de naam van de factor en de meetniveau's. Bijvoorbeeld: De onafhankelijke variabele is een betweensubject factor, namelijk scheidingskind (ja/nee).;You have to look at the variable that is not being influenced. You have to mention that it is a factor and indicate whether it is an within or an between-subject factor. You then mention the name of the factor and the measurement levels. For example: The independent variable is a betweensubject factor, namely child of a divorce (yes/no).;Je moet kijken naar de variabelen waar geen invloed op uitgeoefend wordt. Hierbij benoem je per factor dat het een factor is en geef je aan of het een within- of een between-subject factor is. Je noemt dan de naam van de factor en de meetniveau's. Bijvoorbeeld: De onafhankelijke variabele is:  betweensubject factor 1 = scheidingskind (ja/nee), between-subject factor 2 = psychologische hulp in het verleden (ja/nee).;You have to look at the variables that are not being influenced. You indicate per factor that it is a factor and indicate whether it is an within- or an between-subject factor. You then mention the name of the factor and the measurement levels. For example: The independent variable is: betweensubject factor 1 = divorce child (yes/no), between-subject factor 2 = psychological help in the past (yes/no).;Je moet kijken naar de variabelen waar geen invloed op uitgeoefend wordt. Hierbij benoem je per factor dat het een factor is en geef je aan of het een within- of een between-subject factor is. Je noemt dan de naam van de factor en de meetniveau's. Bijvoorbeeld: De onafhankelijke variabele is:  within-subject factor = tijdstip t.o.v. behandeling (voor/na);You have to look at the variables that are not affected. You indicate per factor that it is a factor and indicate whether it is an within- or an between-subject factor. You then mention the name of the factor and the measurement levels. For example: The independent variable is: within-subject factor = time compared to treatment (pre/after)
E_AFHANKELIJKE_VARIABELE;Kijk welke variabele afhankelijk is van de onafhankelijke variabele. Als een onderzoeker bijvoorbeeld wil weten of de burgerlijke staat een impact heeft op geluk, dan wordt aangenomen dat de mate van geluk afhangt van getrouwd of alleenstaand zijn.;Look at which variable depends on the independent variable. For example, if an investigator wants to find out if marital status has an impact on happiness, then it is assumed that the degree of happiness depends on being married or single.;Kijk naar welke variabele afhankelijk is van de ander. Bijvoorbeeld als een wetenschapper kijkt naar het verschil tussen een voor en een nameting, waarbij tussen deze tijdstippen een behandeling ligt, is de verschilscore van de metingen afhankelijk van de behandeling;Look at which variable depends on the other. For example, if a scientist looks at the difference between a pre- and a postmeasurement, where there is a treatment between these times, the difference score of the measurements depends on the treatment;Je moet kijken naar de variabele waar wel invloed op uitgeoefend wordt. Hierbij benoem je de naam van de factor en de meetniveau's. Bijvoorbeeld: De afhankelijke variabele is depressiescore (kwantititief, 1 meting per persoon);You have to look at the variable that is being influenced. You name the factor and the measurement levels. For example: The dependent variable is depression score (quantitative, 1 measurement per person);Je moet kijken naar de variabele waar wel invloed op uitgeoefend wordt. Hierbij benoem je de naam van de factor en de meetniveau's. Bijvoorbeeld: De afhankelijke variabele is depressiescore (kwantititief, 1 meting per persoon);You have to look at the variable that is being influenced. You name the factor and the measurement levels. For example: The dependent variable is depression score (quantitative, 1 measurement per person);Je moet kijken naar de variabele waar wel invloed op uitgeoefend wordt. Hierbij benoem je de naam van de factor en de meetniveau's. Ook benoem je hoeveel metingen er uitgevoerd zijn per persoon. Bijvoorbeeld: De afhankelijke variabele is vooruitgang depressiescore (kwantititief, 2 meting per persoon);You have to look at the variable that is influenced. You name the factor and the measurement levels. You also mention how many measurements have been taken per person. For example: The dependent variable is progress depression score (quantitative, 2 measurement per person)
E_MATE_VAN_CONTROLE;Als de onafhankelijke variabele wordt gemanipuleerd, kun je experiment opschrijven, zo niet, dan kunt je passief-observerend opschrijven. Wanneer de onderzoeker bijvoorbeeld mensen at random in verschillende groepen indeelt, wordt het gemanipuleerd. Als de groepen gebaseerd zijn op de burgerlijke staat (gehuwd/alleenstaand), is dit een aspect van de werkelijkheid dat niet is veranderd en daarom wordt het een passief-observerend onderzoek.;If the independent variable is manipulated, you can write down experiment, if not, you can write down observed. For example when the investigator randomises people into different groups, it is manipulated. If the groups are based on marital status (married/single), this is an aspect of reality that has not been changed and therefore it is oberved.;Als er gecounterbalanced is, is er sprake van een experimenteel onderzoek. Dit betekent dat een proefpersoon beide condities in een random volgorde heeft doorgemaakt. ;If the researcher counterbalanced the condition, it is an experimental study. This means that a subject has gone through both conditions in a random order.;Als er geen sprake is van een random indeling in groepen en manipulatie of van counterbalancing, is het een passief-observerend onderzoek. Als wel, dan is het experimenteel;If there is no random classification into groups and manupulation or counterbalancing, it is a passive-observing study. If it is, then it's experimental;Als er geen sprake is van een random indeling in groepen en manipulatie of van counterbalancing, is het een passief-observerend onderzoek. Als wel, dan is het experimenteel. Dit moet je voor beide onafhankelijke variabelen apart bepalen.;If there is no random classification into groups and manipulation or counterbalancing, it is a passive-observing study. If it is, it's experimental. You have to determine this separately for both independent variables.;Om een experiment te zijn, moet er sprake zijn van counterbalancing. Dit betekent dat alle subjecten de condities in een random volgorde hebben doorlopen. Als dit niet het geval is, is het niet-experimenteel.;To be an experiment, there has to be counterbalancing. This means that all subjects have gone through the conditions in a random order. If not, it's non-experimental.
E_HYPOTHESE;Kijk naar de vraag, de onderzoeker wil bijvoorbeeld weten of mu Nijmegen ongelijk is aan mu Amsterdam, dus dat is de Ha. H0 zegt het tegenovergestelde, namelijk dat mu Nijmegen gelijk is aan mu Amsterdam, schrijf dit op met het gelijke (=) teken.;Look at the question, the investigator wants to find out whether mu Nijmegen is unequal to mu Amsterdam, that is the Ha. H0 says the opposite, namely that mu Nijmegen is equal to mu Amsterdam, write this down with the equal (=) sign.;Kijk naar de vraag, de onderzoeker wil bijvoorbeeld weten of depressieklachten afgenomen zijn tijdens de behandeling is dit de Ha. De H0 zegt het tegenovergestelde, in dit geval dus dat de depressieklachten gelijk zijn gebleven of erger zijn geworden. ;Look at the question, for example, the researcher wants to know whether depression symptoms have decreased during treatment this is the Ha. The H0 says the opposite, in this case that the depression symptoms have remained the same or have gotten worse.;Voor de H0 ga je ervan uit dat er geen verschil is tussen de groepen, dus H0 = mu(scheidingskind) = mu (geen scheidingskind). Voor Ha kijk je naar het tegenovergestelde (vaak de onderzoeksvraag). Aangezien er soms meer dan 2 groepen zijn, schrijf je meestal op: Ha = ten minste twee van deze gemiddelden verschillen;For the H0 you assume that there is no difference between the groups, so H0 = mu (divorce child) = mu (no divorce child). For Ha you look at the opposite (often the research question). Since there are sometimes more than 2 groups, you usually write down: Ha = at least two of these averages differ;Voor de H0 ga je ervan uit dat er geen verschil is tussen de groepen, dus H0 = mu(scheidingskind) = mu (geen scheidingskind). Voor Ha kijk je naar het tegenovergestelde (vaak de onderzoeksvraag). Aangezien er soms meer dan 2 groepen zijn, schrijf je meestal op: Ha = H0 (1) is onwaar. Deze hypothese moet je voor beide onafhankelijke variabelen bepalen. ;For the H0 you assume that there is no difference between the groups, so H0 = mu (divorce child) = mu (no divorce child). For Ha you look at the opposite (often the research question). Since there are sometimes more than 2 groups, you usually write down: Ha = H0 (1) is false. You have to determine this hypothesis for both independent variables.;De hypothese van de conditie gaat om de metingen. De H0 is dat de condities gelijke gemiddelden hebben in de populatie, bijvoorbeeld: H0(condities)= mu(voor)= mu(na). De Ha hierbij is: H0 is onwaar.;The hypothesis of the condition is about the measurements. The H0 is that the conditions have equal averages in the population, for example: H0(conditions)= mu(pre)= mu(after). The Ha here is: H0 is untrue.
E_HYPOTHESE_INTERACTIE;-;-;-;-;-;-;De H0 voor interactie is dat er geen interactie is. Dit betekent dat het celgemiddelde gelijk is aan het rijgemiddelde + kolomgemiddelde - totaalgemiddelde. Stel je hebt 2 onafhankelijke variabelen met 2 groepen. OV1 = scheidingskind (ja/nee), OV2 = psychologische hulp in het verleden (ja/nee). De H0 schrijf je dan op als: H0 (scheidingskind x hulp): mu (scheiding ja & hulp ja) = mu(scheiding ja) + mu (hulp ja) - mu(totaal) en mu (scheiding ja & hulp nee) = mu(scheiding ja) + mu (hulp nee) - mu(totaal) en mu (scheiding nee & hulp ja) = mu(scheiding nee) + mu (hulp ja) - mu(totaal) en mu (scheiding nee & hulp nee) = mu(scheiding nee) + mu (hulp nee) - mu(totaal). De Ha hierbij is: H0 (scheidingskind x hulp) is onwaar.;The H0 for interaction is that there is no interaction. This means that the cell average is equal to the row average + column average - total average. Suppose you have 2 independent variables with 2 groups. OV1 = divorce child (yes/no), OV2 = psychological help in the past (yes/no). You then write down the H0 as: H0 (divorce child x help): mu (divorce yes & help yes) = mu (divorce yes) + mu (help yes) - mu(total) and mu (divorce yes & help no) = mu (divorce yes) + mu (help no) - mu(total) and mu (divorce no & help yes) = mu (divorce no) + mu (help yes) - mu(total) and mu (divorce no & help no) = mu (divorce no) + mu (help no) - mu(total). The Ha here is: H0 (divorce child x help) is untrue.;-;-
E_HYPOTHESE_SUBJECTEN;-;-;-;-;-;-;-;-;Bij een within-subject design wordt ook verondersteld dat de personen gelijke ware scores op de opgevoerde meting hebben. Deze beschrijf je als: H0(personen) = tau (persoon1) = tau (persoon2) = …. = tau (persoon n). De bijbehorende Ha is: H0 is onwaar.;In an within-subject design, it is also assumed that the persons have equal true scores on the increased measurement. You describe these as: H0(persons) = tau (person1) = tau (person2) = .... = tau (person n). The corresponding Ha is: H0 is false.
E_TABEL_GEMIDDELDEN;N: tel het aantal getallen in de kolom Nijmegen en in de kolom Amsterdam. Gemiddelde: Som alle getallen op onder Nijmegen en deel dit door de N van Nijmegen, doe hetzelfde voor Amsterdam. Standaarddeviatie: gebruik de rekenmachine om alle getallen in te vullen en gebruik de voorbeeldknop voor standaarddeviatie.;N: count the amount of numbers in the colomn Nijmegen and in the colomn Amsterdam. Mean: Sum all the numbers up under Nijmegen en divide it bij the N of Nijmegen, do the same thing for Amsterdam. Standard deviation: use your calculator to fill in all the numbers and use the sample standard deviation button.;N: tel het aantal getallen in de kolom Nijmegen en in de kolom Amsterdam. Gemiddelde: Som alle getallen op onder Nijmegen en deel dit door de N van Nijmegen, doe hetzelfde voor Amsterdam. Standaarddeviatie: gebruik de rekenmachine om alle getallen in te vullen en gebruik de voorbeeldknop voor standaarddeviatie.;N: count the amount of numbers in the colomn Nijmegen and in the colomn Amsterdam. Mean: Sum all the numbers up under Nijmegen en divide it bij the N of Nijmegen, do the same thing for Amsterdam. Standard deviation: use your calculator to fill in all the numbers and use the sample standard deviation button.;Per groep noteer je het gemiddelde, de variantie (sd in het kwadraat) en de grootte van de groep. Voor het totaal noteer je het gemiddelde en de totale steekproefgrootte. ;Per group you note the middle, the variance (sd squared) and the size of the group. For the total, note the average and the total sample size.;Je maakt een tabel met de geaggregeerde data. Hierin zet je voor iedere conditie het gemiddelde, de variantie en het aantal personen in de conditie. Het is handig om ook het rijgemiddelde, het kolomgemiddelde en het totale gemiddelde erbij te zetten.;You create a table with the aggregated data. In this you put the average, variance and number of people in the condition for each condition. It is useful to also add the row average, column average and total average.;Per meting bereken je het gemiddelde en de variantie. Je berekent ook voor elke persoon het gemiddelde over alle condities, deze hoeft je niet te noteren. Dit wordt de opgevoerde meting genoemd. Hiervan noteer je wel het gemiddelde en de variantie. Noteer verder het aantal personen (n) en het aantal metingen (k). ;Per measurement you calculate the average and variance. You also calculate the average for each person on all conditions, which you do not have to write down. You have to write down the average and variance of this. Further note the number of people (n) and the number of measurements (k).
E_TABEL_ANOVA;-;-;-;-;Dfbetween = aantal groepen -1. Dfwithin = aantal personen - aantal groepen. Dftotaal = aantal personen - 1. SSbetween = (N-1)* de variantie van de groepsgemiddelden. SSwithin = De som van per groep de variantie van die groep keer n-1. SStotaal = SSbetween + SSwithin. MSbetween = SSbetween/DFbetween. MSwithin= SSwithin/DFwithin. F= MSbetween/MSwithin. De p-waarde zoek je op in de tabel, waarbij je in de teller DFbetween en in de noemer DFwithin zet. R²= SSbetween/SStotaal.;Dfbetween = number of groups -1. Dfwithin = number of people - number of groups. Dftotal = number of persons - 1. SSbetween = (N-1)* the variance of group averages. SSwithin = The sum of each group the variance of that group times n-1. SStotal = SSbetween + SSwithin. MSbetween = SSbetween/DFbetween. MSwithin= SSwithin/DFwithin. F= MSbetween/MSwithin. ou look up the p-value in the table, where you put DFbetween in the nominator and in the denominator DFwithin. R²= SSbetween/SStotal.;Dfbetween= aantal cellen -1, DF(a) = aantal rijen -1, DF (b) = aantal kolummen -1, Df (ab) = DF(a)xDF(b), Dfwithin = aantal personen - aantal cellen, Dftotaal = aantal personen -1. SSbetween = (N-1)* de variantie van de groepsgemiddelden, SS(a) = (N-1)* de variantie van de rijgemiddelden, SS(b) = (N-1)* de variantie van de kolomgemiddelden, SS(ab) = SSbetween- SS(a) - SS(b), SSwithin = de som van de variantie van elke cel * (Nkl -1), SStotaal = SSbetween + SSwithin. MS(bron)= SS(bron)/DF (bron). F (bron)= MS(bron)/MS(within). P zoek je in de tabel op met DF(bron) als teller en DF (within) als noemer. R² (bron) = SS(bron)/SS(totaal).;Dfbetween= number of cells -1, DF(a) = number of rows -1, DF (b) = number of kolummes -1, Df (ab) = DF(a)xDF(b), Dfwithin = number of people - number of cells, Dftotal = number of persons -1. SSbetween = (N-1)* the variance of group averages, SS(a) = (N-1)* the variance of the row averages, SS(b) = (N-1)* the variance of the column averages, SS(ab) = SSbetween- SS(a) - SS(b), SSwithin = the sum of the variance of each cell * (Nkl -1), SStotal = SSbetween + SSwithin. MS(source)= SS(source)/DF (source). F (source)= MS(source)/MS(within). P can be searched in the table with DF(source) as nominator and DF (within) as denominator. R² (source) = SS(source)/SS(total).;DF(conditie) = aantal rijen -1, DF (persoon) = aantal kolummen -1, Df (interactie) = DF(peroon)xDF(conditie), Dftotaal = (aantal personen*aantal condities) -1. SS(conditie) = (N-1)* de variantie als je n keer de gemiddelden van de metingen invoert, SS(persoon) = (N-1)* de variantie als je alle opgevoerde scores k keer invoert, SStotaal = variantie van alle scores * (N-1), SSinteractie = SStotaal - SS (persoon)- SS(conditie). MS(bron)= SS(bron)/DF (bron). F(bron) = MSbron/MSinteractie. De p-waarde zoek je op bij DF bron (teller) en DF interactie (noemer). R²= SSbetween/SStotal. Voor F, p en R² schrijf je geen interactiewaarde op.;DF(condition) = number of rows -1, DF (person) = number of kolummes -1, Df (interaction) = DF(peroon)xDF(condition), Dftotal = (number of persons*number of conditions) -1. SS(condition) = (N-1)* the variance if you enter the averages of the measurements once, SS(person) = (N-1)* the variance if you enter all the entered scores k times, SStotal = variance of all scores * (N-1), SSinteractie = SStotaal - SS (person)- SS(condition). MS(source)= SS(source)/DF (source). F(source) = MSbron/MSinteractie. The p-value can be traced to DF source (nominator) and DF interaction (denominator). R²= SSbetween/SStotal. For F, p and R², you do not write down an interaction value.
E_RUW_EFFECT;gemiddelde 1 - gemiddelde 2;Mean 1 - mean 2;Bereken de verschilscores van alle subjecten. Het gemiddelde van deze verschilscores is het ruwe effect.;Calculate the difference scores of all subjects. The average of these difference scores is the raw effect.;-;-;-;-;-;-
E_RELATIEF_EFFECT;ruw effect/ gepoolde standaarddeviatie;Raw effect size/Spooled;Je moet hier het ruwe effect delen door de standaarddeviatie van de verschilscores.;You have to divide the raw effect here by the standard deviation of the difference scores.;-;-;-;-;-;-
