KEY;TTESTBETWEEN_NL;TTESTBETWEEN_EN;TTESTWITHIN_NL;TTESTWITHIN_EN;1ANOVA_NL;1ANOVA_EN;2ANOVA_NL;2_ANOVA_EN;RMANOVA_NL;RMANOVA_EN
E_ONAFHANKELIJKE_VARIABELE;Onafhankelijke variabele;;;;Onafhankelijke variabele;;;;;
E_AFHANKELIJKE_VARIABELE;;;;;;;;;;
E_MATE_VAN_CONTROLE;;;;;;;;;;
E_HYPOTHESE;;;;;;;;;;
E_HYPOTHESE_INTERACTIE;;;;;;;;;;
E_HYPOTHESE_SUBJECTEN;;;;;;;;;;
E_TABEL_GEMIDDELDEN;;;;;;;;;;
E_TABEL_ANOVA;;;;;;;;;;
E_RUW_EFFECT;;;;;;;;;;
E_RELATIEF_EFFECT;;;;;;;;;;
E_T_WAARDE;;;;;;;;;;
E_P_WAARDE;;;;;;;;;;
E_VRIJHEIDSGRADEN;;;;;;;;;;
E_BESLISSING;;;;;;;;;;
E_BESLISSING_INTERACTIE;;;;;;;;;;
E_BESLISSING_SUBJECTEN;;;;;;;;;;
E_INTERPRETATIE;;;;;;;;;;
E_INTERPRETATIE_INTERACTIE;;;;;;;;;;
