"A_ANSWER","Antwoord:","Answer:"
"M_ANALYSIS1","T-toets onafhankelijke variabelen","T-test for independent samples"
"M_ANALYSIS2","T-toets voor gekoppelde paren","T-test for paired samples"
"M_ANALYSIS3","One-way ANOVA","One-way ANOVA"
"M_ANALYSIS4","Two-way ANOVA","Two-way ANOVA"
"M_ANALYSIS5","Repeated Measures Anova","Repeated Measures Anova"
"M_ANALYSIS6","Multipele-regressieanalyse","Multiple-regression analysis"
"M_ANALYSIS7","MANOVA","MANOVA"
"M_ANALYSIS8","ANCOVA","ANCOVA"
"M_ANALYSIS9","Multivariate RMANOVA","Multivariate RMANOVA"
"M_ANALYSIS10","Dubbel multivariate RMANOVA","Dubble multivariate RMANOVA"
"M_REPORT1","Elementair rapport (oefenmodus)","Elementary report (practice mode)"
"M_REPORT2","Elementair rapport (tentamenmodus)","Elementary report (examination mode)"
"M_REPORT3","Beknopt rapport","Summary report"
"M_APOLOGIES","Sorry, bij ","Sorry, "
"Q_INTRO","Hoi, met dit programma kan je elementaire en beknopte rapporten oefenen. Klik op de knop hieronder om verder te gaan.","Hey, this program allows you to practice both elementary and summary reports. Click the button below to progress."
"Q_COMPLETION","Gefeliciteerd, je rapport is af! Klik op de knop hieronder om verder te gaan.","Congratulations! Your report is finished. Click the button below to progress."
"Q_CHOICE","Voer hieronder het soort opgave in dat je wil oefenen.","Enter the type of assignment you want to practice below. "
"Q_IND","Beschrijf de onafhankelijke variabele.","Describe the independent variable."
"Q_DEP","Beschrijf de afhankelijke variabele.","Describe the dependent variable."
"Q_MEASURE","Beschrijf de mate van controle.","Describe the level of control."
"Q_TABLE","Voer de ondestaande tabel in.","Fill out the table below."
"Q_HYP","Voer de nulhypothese in, geformuleerd met ""H0"" en ""mu"".","Enter the null hypothesis, formulated with “H0” and “mu”."
"Q_DF","Voer het aantal vrijheidsgraden in.","Enter the degrees of freedom."
"Q_RAW","Voer het ruwe effect in dat je hebt berekend.","Enter the raw effect."
"Q_RELATIVE","Voer het relatieve effect in dat je hebt berekend.","Enter the relative effect."
"Q_T","Voer de T-waarde in.","Enter the value of T."
"Q_P","Voer de p-waarde in.","Enter the value of p."
"Q_DECISION","Voer de beslissing in.","Enter the decision."
"Q_INTERPRET","Voer de causale interpretatie in.","Enter the causal interpretation."
"Q_IND1","Beschrijf de eerste onafhankelijke variabele.","Enter the first independent variable. "
"Q_IND2","Beschrijf de tweede onafhankelijke variabele.","Enter the second independent variable. "
"Q_HYP1","Voer de nulhypothese in voor de eerste onafhankelijke variabele, geformuleerd met ""H0"" en ""mu"".","Enter the null hypothesis for the first variable formulated with “H0” and “mu”."
"Q_HYP2","Voer de nulhypothese in voor de tweede onafhankelijke variabele, geformuleerd met ""H0"" en ""mu"".","Enter the null hypothesis for the second variable formulated with “H0” and “mu”."
"Q_HYPINT","Voer de interactienulhypothese in. Je mag deze inkorten door alleen de eerste en laatste vergelijking van de hypothese te geven. ","Enter the interaction null hypothesis. You may abbreviate this one by only writing the first and last equation."
"Q_DEPRM","Beschrijf de afhankelijke variabele (het aantal metingen per persoon hoef je niet te geven). ","Describe the dependent variable (it’s not necessary to give the number of measurements per person)."
"I_CREATE","Maak een ","Create a"
"I_SUBJECTBETWEEN","De proefpersonen doen een experiment, waarin ze worden ingedeeld op hun ","The subjects take part in an experiment, being sorted based on their "
"I_SUBJECTWITHIN","De proefpersonen doen allemaal mee aan een experiment, met als ","The subjects all take part in an experiment, with "
"I_RANDOMBETWEEN","De personen van elke groep zijn willekeurig geselecteerd. ","The persons of all groups were selected randomly. "
"I_RANDOMWITHIN","De volgorde van de toetsen was gerandomiseerd. ","The order of the tests was randomized. "
"I_DECIMALS","Voer je antwoorden alsjeblieft tot op 2 decimalen in, en gebruik dezelfde vergelijking van de gemiddelden in je antwoord als in de vraagstelling staat (e.g. ""groter"" of ""kleiner""). ","Enter your answers with two decimals, and use the same comparison of means in your answer as you can read in the question (e.g. “smaller”). "
"A_ONEINT","Experiment, dus er is slechts een verklaring mogelijk. Dit is namelijk dat ","Experiment, so only one explanation is possible. The primary explanation is that "
"A_MULTINT","Geen experiment, dus er zijn meerdere verklaringen mogelijk. De primaire verklaring is dat ","No experiment, so multiple explanations are possible"
"A_ALTINT","De alternatieve verklaring is dat ","The alternative explanation is that "
"I_FULLRANDOM","De deelnemers zijn willekeurig gekozen voor beide factoren. ","The participants are sorted randomly for both factors"
"I_RANDOMFACTOR","De deelnemers zijn willekeurig verdeeld bij de factor ","The participants are sorted randomly for factor "
"A_TRUESCORES","h0: De personen hebben gelijke ware scores op de opgevoerde meting in de populatie.","H0: The persons have the same true scores for the boosted measurement in the population"
"A_JACKEDMEANS","de opgevoerde gemiddelden van de personen in de populatie zijn ","The boosted measurements in the population are"
"I_DIMENSIONS","De afhankelijke variabelen zijn dimensies van de variabele ","The dependent variables are dimensions of the variable "
"I_CONTAINSFACTORS","Dit onderzoek bevat de factoren ","This experiment contains the factors "
"I_DEP","De afhankelijke variabele is","The dependent variable is "
